profile_name,post_id,post_date,post_time,likes,shares,followers,comments,content_type,comment_text
profile1,post1,2025-02-14,12:30,696,93,4175,27,VIDEO,"Love this content! #inspiration #goals"
profile1,post2,2024-06-12,22:34,711,22,4257,0,VIDEO,"Love this content! #inspiration #goals"
profile1,post3,2024-08-08,04:07,498,171,4393,28,PHOTO,"Great post! #awesome #winning"
profile1,post4,2024-05-09,13:42,466,85,4267,12,REEL,"Amazing work! #perfect #success"
profile1,post5,2025-03-12,02:25,110,41,4356,31,REEL,"Not very helpful #disappointed #improve"
profile1,post6,2025-02-05,10:41,485,140,4351,6,TEXT,"Great post! #awesome #winning"
profile1,post7,2024-11-11,03:18,66,122,4531,40,VIDEO,"I don't agree #notforme #nothappy"
profile1,post8,2025-03-20,00:16,402,70,4727,6,TEXT,"Has potential #workinprogress #maybe"
profile1,post9,2024-07-11,12:48,89,67,4633,27,VIDEO,"Could be better #meh #tryharder"
profile1,post10,2024-10-31,19:35,130,87,4751,48,PHOTO,"Not very helpful #disappointed #improve"
profile1,post11,2024-04-23,18:16,254,181,4353,38,PHOTO,"Interesting but too short #curious #shortpost"
profile1,post12,2024-11-18,00:08,100,71,4663,38,TEXT,"Not very helpful #disappointed #improve"
profile1,post13,2025-04-06,01:21,520,98,4683,26,REEL,"Great post! #awesome #winning"
profile1,post14,2025-01-13,00:11,15,182,4447,45,REEL,"Not very helpful #disappointed #improve"
profile1,post15,2024-07-23,00:53,251,153,5551,21,REEL,"Could be better #meh #tryharder"
profile1,post16,2024-12-04,10:36,672,72,4463,29,VIDEO,"Love this content! #inspiration #goals"
profile1,post17,2024-07-04,07:49,882,125,5352,21,TEXT,"Amazing work! #perfect #success"
profile1,post18,2024-08-13,03:55,263,151,5137,48,PHOTO,"Interesting but too short #curious #shortpost"
profile1,post19,2024-06-11,11:27,647,63,5346,23,PHOTO,"Amazing work! #perfect #success"
profile1,post20,2024-09-19,15:44,199,140,5951,45,TEXT,"Not very helpful #disappointed #improve"
profile1,post21,2024-10-13,16:31,332,124,5140,0,TEXT,"Has potential #workinprogress #maybe"
profile1,post22,2025-02-04,14:09,839,32,5827,4,VIDEO,"Love this content! #inspiration #goals"
profile1,post23,2024-05-04,13:05,670,90,4640,20,TEXT,"Great post! #awesome #winning"
profile1,post24,2024-10-11,16:37,265,148,5983,5,VIDEO,"Could be better #meh #tryharder"
profile1,post25,2024-11-22,19:26,264,104,5336,35,TEXT,"Not very helpful #disappointed #improve"
profile1,post26,2024-05-09,08:24,646,2,4579,20,TEXT,"Great post! #awesome #winning"
profile1,post27,2024-06-13,00:23,932,62,4813,9,PHOTO,"Amazing work! #perfect #success"
profile1,post28,2024-11-13,07:11,690,39,5203,15,TEXT,"Love this content! #inspiration #goals"
profile1,post29,2025-02-02,19:02,735,199,6083,15,VIDEO,"Amazing work! #perfect #success"
profile1,post30,2024-09-27,14:38,506,92,6721,33,REEL,"Interesting but too short #curious #shortpost"
profile1,post31,2024-10-21,10:22,922,84,4793,9,VIDEO,"Great post! #awesome #winning"
profile1,post32,2025-04-08,15:18,87,120,4655,43,REEL,"Not very helpful #disappointed #improve"
profile1,post33,2025-01-24,00:48,21,15,4738,15,PHOTO,"I don't agree #notforme #nothappy"
profile1,post34,2025-01-06,06:28,161,112,5913,30,TEXT,"I don't agree #notforme #nothappy"
profile1,post35,2024-05-28,22:27,918,57,5091,18,VIDEO,"Love this content! #inspiration #goals"
profile1,post36,2025-02-24,05:52,806,107,7387,15,REEL,"Great post! #awesome #winning"
profile1,post37,2024-10-07,00:48,288,195,4370,9,PHOTO,"Interesting but too short #curious #shortpost"
profile1,post38,2024-06-26,15:01,561,125,5479,18,TEXT,"Love this content! #inspiration #goals"
profile1,post39,2024-06-05,16:28,467,6,6451,49,REEL,"Interesting but too short #curious #shortpost"
profile1,post40,2024-12-07,08:10,890,62,7591,37,TEXT,"Love this content! #inspiration #goals"
profile1,post41,2024-12-18,08:28,332,171,4480,4,TEXT,"Has potential #workinprogress #maybe"
profile1,post42,2025-04-07,20:43,358,50,6337,48,TEXT,"Good but could be better #mixedfeelings #neutral"
profile1,post43,2024-12-11,12:06,617,50,8110,1,VIDEO,"Interesting but too short #curious #shortpost"
profile1,post44,2024-08-08,10:29,733,143,5431,22,PHOTO,"Great post! #awesome #winning"
profile1,post45,2024-11-24,21:02,957,77,6586,25,VIDEO,"Great post! #awesome #winning"
profile1,post46,2024-11-13,22:44,594,67,6273,12,VIDEO,"Interesting but too short #curious #shortpost"
profile1,post47,2024-08-14,12:40,138,18,7025,31,TEXT,"Could be better #meh #tryharder"
profile1,post48,2024-12-21,10:32,704,15,6559,17,VIDEO,"Love this content! #inspiration #goals"
profile2,post1,2024-11-15,01:32,999,100,5563,43,PHOTO,"Great post! #awesome #winning"
profile2,post2,2024-12-05,03:55,14,52,5609,10,VIDEO,"Not very helpful #disappointed #improve"
profile2,post3,2024-06-19,19:59,625,105,5622,1,VIDEO,"Amazing work! #perfect #success"
profile2,post4,2024-10-24,13:46,886,48,5721,38,TEXT,"Great post! #awesome #winning"
profile2,post5,2024-05-05,08:33,502,14,5704,38,REEL,"Interesting but too short #curious #shortpost"
profile2,post6,2024-08-28,13:42,845,150,5805,27,PHOTO,"Love this content! #inspiration #goals"
profile2,post7,2024-05-24,10:38,718,39,5816,21,VIDEO,"Great post! #awesome #winning"
profile2,post8,2025-04-10,13:17,274,172,5625,15,REEL,"Could be better #meh #tryharder"
profile2,post9,2025-03-23,03:18,250,147,5934,22,REEL,"Not very helpful #disappointed #improve"
profile2,post10,2024-05-09,16:45,820,68,6389,1,PHOTO,"Love this content! #inspiration #goals"
profile2,post11,2025-01-31,09:21,870,132,6530,13,TEXT,"Love this content! #inspiration #goals"
profile2,post12,2024-08-16,05:35,297,43,6393,33,VIDEO,"Could be better #meh #tryharder"
profile2,post13,2024-05-18,14:48,840,41,5698,28,TEXT,"Love this content! #inspiration #goals"
profile2,post14,2024-11-17,20:23,162,65,6173,8,VIDEO,"Could be better #meh #tryharder"
profile2,post15,2024-06-02,23:49,298,170,6579,34,VIDEO,"Not very helpful #disappointed #improve"
profile2,post16,2025-04-15,03:51,765,101,6345,36,TEXT,"Love this content! #inspiration #goals"
profile2,post17,2025-03-21,03:57,120,10,6073,46,TEXT,"Could be better #meh #tryharder"
profile2,post18,2024-05-28,08:15,660,127,5583,5,PHOTO,"Love this content! #inspiration #goals"
profile2,post19,2024-04-30,23:15,550,194,6422,34,TEXT,"Good but could be better #mixedfeelings #neutral"
profile2,post20,2024-09-29,06:35,919,72,7049,12,TEXT,"Love this content! #inspiration #goals"
profile2,post21,2024-06-18,12:58,687,164,6684,12,PHOTO,"Great post! #awesome #winning"
profile2,post22,2024-05-04,18:24,863,66,6013,40,REEL,"Great post! #awesome #winning"
profile2,post23,2025-04-06,23:14,71,23,7277,42,VIDEO,"Not very helpful #disappointed #improve"
profile2,post24,2025-03-28,11:09,482,103,7641,18,VIDEO,"Good but could be better #mixedfeelings #neutral"
profile2,post25,2024-05-29,03:16,712,64,5754,34,PHOTO,"Great post! #awesome #winning"
profile2,post26,2024-07-16,00:13,629,144,8025,2,PHOTO,"Has potential #workinprogress #maybe"
profile2,post27,2024-04-20,06:19,54,52,6474,17,REEL,"Could be better #meh #tryharder"
profile2,post28,2024-09-20,03:39,962,41,8217,25,TEXT,"Great post! #awesome #winning"
profile2,post29,2024-06-11,10:25,736,148,7298,5,REEL,"Great post! #awesome #winning"
profile2,post30,2024-07-05,12:47,143,71,6009,23,REEL,"I don't agree #notforme #nothappy"
profile2,post31,2024-07-06,18:17,616,21,5901,48,VIDEO,"Love this content! #inspiration #goals"
profile2,post32,2024-09-24,17:11,418,59,6937,32,REEL,"Has potential #workinprogress #maybe"
profile2,post33,2024-09-19,18:02,261,123,6684,46,TEXT,"Could be better #meh #tryharder"
profile2,post34,2024-10-25,22:49,912,131,8725,47,TEXT,"Great post! #awesome #winning"
profile2,post35,2024-12-22,13:36,4,139,6719,22,PHOTO,"Could be better #meh #tryharder"
profile2,post36,2025-02-07,10:49,85,131,6177,2,VIDEO,"Could be better #meh #tryharder"
profile2,post37,2024-12-24,17:32,65,10,6824,40,VIDEO,"I don't agree #notforme #nothappy"
